iter	Passed	Remaining
287	2542	6286
288	2552	6278
289	2561	6270
290	2570	6261
291	2579	6253
292	2588	6245
293	2597	6236
294	2606	6228
295	2615	6220
296	2624	6211
297	2633	6203
298	2642	6194
299	2651	6186
300	2660	6177
301	2669	6169
302	2678	6160
303	2687	6151
304	2696	6143
305	2705	6135
306	2714	6126
307	2723	6118
308	2731	6108
309	2740	6100
310	2749	6091
311	2758	6083
312	2767	6074
313	2776	6066
314	2785	6058
315	2794	6049
316	2803	6041
317	2812	6032
318	2821	6023
319	2830	6014
320	2839	6006
321	2848	5998
322	2857	5989
323	2867	5982
324	2877	5975
325	2886	5967
326	2895	5958
327	2904	5950
328	2913	5941
329	2922	5932
330	2931	5924
331	2939	5915
332	2949	5906
333	2958	5898
334	2966	5889
335	2975	5880
336	2984	5871
337	2993	5863
338	3002	5854
339	3011	5845
340	3020	5836
341	3029	5828
342	3038	5819
343	3047	5810
344	3056	5802
345	3065	5793
346	3073	5784
347	3083	5776
348	3092	5767
349	3100	5758
350	3109	5750
351	3118	5741
352	3127	5732
353	3136	5724
354	3145	5715
355	3154	5707
356	3164	5699
357	3173	5690
358	3182	5682
359	3191	5673
360	3200	5664
361	3209	5656
362	3218	5647
363	3227	5638
364	3236	5629
365	3244	5620
366	3253	5612
367	3262	5603
368	3271	5594
369	3280	5586
370	3289	5577
371	3298	5568
372	3307	5559
373	3316	5551
374	3325	5542
375	3334	5533
376	3343	5524
377	3352	5516
378	3362	5509
379	3371	5500
380	3380	5492
381	3389	5483
382	3398	5474
383	3407	5466
384	3416	5458
385	3425	5449
386	3434	5440
387	3443	5431
388	3452	5423
389	3462	5415
390	3472	5407
391	3481	5400
392	3491	5392
393	3500	5384
394	3509	5375
395	3519	5367
396	3528	5359
397	3537	5351
398	3547	5343
399	3556	5335
400	3566	5327
401	3575	5318
402	3584	5310
403	3593	5301
404	3602	5293
405	3612	5285
406	3621	5276
407	3630	5268
408	3640	5259
409	3649	5251
410	3658	5242
411	3667	5234
412	3676	5225
413	3685	5217
414	3695	5209
415	3704	5201
416	3714	5192
417	3723	5184
418	3732	5175
419	3741	5167
420	3750	5158
421	3759	5149
422	3769	5141
423	3778	5133
424	3788	5125
425	3798	5117
426	3807	5109
427	3816	5100
428	3825	5092
429	3835	5083
430	3844	5075
431	3853	5066
432	3862	5058
433	3872	5050
434	3881	5041
435	3891	5033
436	3900	5025
437	3909	5016
438	3918	5008
439	3928	4999
440	3937	4991
441	3946	4982
442	3955	4973
443	3965	4965
444	3974	4957
445	3983	4948
446	3993	4940
447	4002	4931
448	4011	4923
449	4020	4914
450	4030	4905
451	4039	4897
452	4048	4888
453	4058	4880
454	4067	4872
455	4076	4863
456	4086	4855
457	4095	4846
458	4104	4838
459	4114	4829
460	4123	4821
461	4132	4812
462	4142	4804
463	4151	4795
464	4160	4786
465	4169	4777
466	4178	4768
467	4187	4760
468	4196	4751
469	4205	4742
470	4214	4733
471	4223	4724
472	4232	4715
473	4241	4706
474	4250	4697
475	4259	4688
476	4268	4679
477	4277	4671
478	4286	4662
479	4295	4653
480	4304	4644
481	4313	4635
482	4322	4626
483	4331	4618
484	4340	4609
485	4349	4600
486	4359	4591
487	4368	4583
488	4377	4574
489	4386	4565
490	4395	4556
491	4404	4547
492	4413	4538
493	4422	4529
494	4431	4521
495	4440	4512
496	4449	4503
497	4458	4494
498	4467	4485
499	4476	4476
500	4485	4467
501	4494	4458
502	4503	4449
503	4512	4440
504	4521	4432
505	4530	4423
506	4540	4414
507	4549	4405
508	4558	4396
509	4567	4387
510	4575	4378
511	4585	4370
512	4594	4361
513	4603	4352
514	4612	4343
515	4621	4335
516	4630	4326
517	4639	4317
518	4648	4308
519	4657	4299
520	4666	4290
521	4675	4281
522	4684	4272
523	4693	4263
524	4703	4255
525	4712	4246
526	4721	4237
527	4730	4228
528	4739	4219
529	4748	4210
530	4757	4201
531	4766	4192
532	4775	4184
533	4784	4175
534	4793	4166
535	4802	4157
536	4811	4148
537	4820	4139
538	4829	4130
539	4838	4121
540	4847	4112
541	4857	4104
542	4866	4095
543	4875	4086
544	4884	4077
545	4893	4068
546	4902	4060
547	4911	4051
548	4920	4042
549	4929	4033
550	4938	4024
551	4947	4015
552	4956	4006
553	4966	3998
554	4975	3989
555	4984	3980
556	4994	3971
557	5002	3962
558	5011	3953
559	5020	3944
560	5030	3936
561	5039	3927
562	5048	3918
563	5057	3909
564	5065	3900
565	5075	3891
566	5084	3882
567	5092	3873
568	5102	3864
569	5110	3855
570	5119	3846
571	5128	3837
572	5137	3828
573	5146	3819
574	5156	3810
575	5165	3802
576	5174	3793
577	5183	3784
578	5192	3775
579	5201	3766
580	5210	3757
581	5219	3748
582	5228	3739
583	5237	3730
584	5246	3721
585	5255	3712
586	5264	3704
587	5273	3695
588	5282	3686
589	5291	3677
590	5300	3668
591	5309	3659
592	5318	3650
593	5327	3641
594	5336	3632
